956,645,30d 
912,341,30d 
566,668,30d 
731,353,30d 
834,368,30d 
232,765,30d 
575,731,30d 
269,966,30d 
233,538,30d 
895,498,30d 
598,274,30d 
525,434,30d 
928,885,30d 
728,375,30d 
884,191,30d 
188,934,30d 
211,892,30d 
496,678,30d 
553,387,30d 
953,663,30d 
656,181,30d 
383,567,30d 
923,813,30d 
193,133,30d 
483,436,30d 
197,621,30d 
237,811,30d 
812,375,30d 
846,836,30d 
616,318,30d 
747,354,30d 
267,289,30d 
687,979,30d 
416,221,30d 
944,316,30d 
465,187,30d 
983,496,30d 
281,591,30d 
669,192,30d 
338,888,30d 
222,917,30d 
737,136,30d 
871,979,30d 
546,313,30d 
818,953,30d 
474,261,30d 
181,643,30d 
335,943,30d 
573,166,30d 
879,574,30d 
486,471,30d 
916,911,30d 
743,794,30d 
381,452,30d 
517,975,30d 
251,726,30d 
454,864,30d 
578,462,30d 
187,597,30d 
771,696,30d 
