8595,5743, 
2966,3533, 
7318,7584, 
9266,3956, 
4388,4128, 
9462,6283, 
6755,2246, 
3718,2755, 
9638,7951, 
4371,8295, 
1937,3137, 
2531,3424, 
3766,4218, 
1767,3128, 
3773,5447, 
1466,9148, 
6264,7831, 
6122,3282, 
1743,1446, 
4721,2294, 
4844,9685, 
9577,4643, 
6785,6635, 
5844,4444, 
3222,5568, 
7582,3744, 
3181,9516, 
3285,9699, 
8825,5218, 
1796,8587, 
1961,1868, 
8583,2724, 
8798,2214, 
2343,1486, 
2672,9595, 
5344,9934, 
3728,4615, 
4199,7914, 
8341,7264, 
8672,4899, 
7891,3234, 
7745,2917, 
7699,4246, 
6335,9542, 
7631,5789, 
4759,7674, 
7569,1995, 
3799,6461, 
2873,7151, 
9911,1118, 
